,fips,province_state,country_region,confirmed,deaths,recovered,active,date,positive,negative,hospitalized,hospitalizedcurrently,hospitalizeddischarged
0,,Anhui,China,1.0,,,,20210119,289939,,,1066.0,
1,,Beijing,China,14.0,,,,20210119,289939,,,1066.0,
2,,Chongqing,China,6.0,,,,20210119,289939,,,1066.0,
3,,Fujian,China,1.0,,,,20210119,289939,,,1066.0,
4,,Gansu,China,,,,,20210119,289939,,,1066.0,
5,,Guangdong,China,26.0,,,,20210119,289939,,,1066.0,
6,,Guangxi,China,2.0,,,,20210119,289939,,,1066.0,
7,,Guizhou,China,1.0,,,,20210119,289939,,,1066.0,
8,,Hai,China,4.0,,,,20210119,289939,,,1066.0,
9,,Hebei,China,1.0,,,,20210119,289939,,,1066.0,
10,,Heilongjiang,China,,,,,20210119,289939,,,1066.0,
11,,He,China,5.0,,,,20210119,289939,,,1066.0,
12,,Hong Kong,Hong Kong,,,,,20210119,289939,,,1066.0,
13,,Hubei,China,444.0,17.0,28.0,,20210119,289939,,,1066.0,
14,,Hu,China,4.0,,,,20210119,289939,,,1066.0,
15,,Inner Mongolia,China,,,,,20210119,289939,,,1066.0,
16,,Jiangsu,China,1.0,,,,20210119,289939,,,1066.0,
17,,Jiangxi,China,2.0,,,,20210119,289939,,,1066.0,
18,,Jilin,China,,,,,20210119,289939,,,1066.0,
19,,Liaoning,China,2.0,,,,20210119,289939,,,1066.0,
20,,Macau,Macau,1.0,,,,20210119,289939,,,1066.0,
21,,Ningxia,China,1.0,,,,20210119,289939,,,1066.0,
22,,Qinghai,China,,,,,20210119,289939,,,1066.0,
23,,Shaanxi,China,,,,,20210119,289939,,,1066.0,
24,,Shandong,China,2.0,,,,20210119,289939,,,1066.0,
25,,Shanghai,China,9.0,,,,20210119,289939,,,1066.0,
26,,Shanxi,China,1.0,,,,20210119,289939,,,1066.0,
27,,Sichuan,China,5.0,,,,20210119,289939,,,1066.0,
28,,Taiwan,Taiwan,1.0,,,,20210119,289939,,,1066.0,
